ch	pt	fine_thr	a_fit	b_fit
 4	 1	 4	219.479	2.318
 4	 1	 5	218.633	2.239
 4	 1	 6	217.686	2.281
 4	 1	 7	216.734	2.320
 4	 2	 0	223.342	1.588
 4	 2	 1	222.257	1.395
 4	 2	 2	221.366	1.334
 4	 2	 3	220.291	1.407
 4	 2	 4	219.401	1.343
 4	 2	 5	218.581	1.394
 4	 2	 6	217.630	1.287
 4	 2	 7	216.600	1.383
 4	 3	 0	223.277	1.098
 4	 3	 1	222.332	1.095
 4	 3	 2	221.307	1.088
 4	 3	 3	220.365	1.052
 4	 3	 4	219.332	1.046
 4	 3	 5	218.507	1.020
 4	 3	 6	217.540	1.035
 4	 3	 7	216.638	1.034
 4	 4	 0	223.264	0.895
 4	 4	 1	222.258	0.942
 4	 4	 2	221.244	0.877
 4	 4	 3	220.275	0.953
 4	 4	 4	219.497	0.856
 4	 4	 5	218.502	0.805
 4	 4	 6	217.689	0.849
 4	 4	 7	216.574	0.852
 4	 5	 0	223.297	0.741
 4	 5	 1	222.310	0.768
 4	 5	 2	221.397	0.768
 4	 5	 3	220.333	0.728
 4	 5	 4	219.503	0.707
 4	 5	 5	218.459	0.693
 4	 5	 6	217.626	0.714
 4	 5	 7	216.573	0.745
 4	 6	 0	223.283	0.638
 4	 6	 1	222.286	0.685
 4	 6	 2	221.439	0.666
 4	 6	 3	220.410	0.689
 4	 6	 4	219.448	0.639
 4	 6	 5	218.470	0.674
 4	 6	 6	217.626	0.642
 4	 6	 7	216.694	0.675
 4	 7	 0	223.323	0.660
 4	 7	 1	222.308	0.642
 4	 7	 2	221.388	0.636
 4	 7	 3	220.345	0.729
 4	 7	 4	219.418	0.656
 4	 7	 5	218.487	0.632
 4	 7	 6	217.689	0.631
 4	 7	 7	216.675	0.662
 5	 0	 0	223.084	5.525
 5	 0	 1	222.174	5.520
 5	 0	 2	221.055	5.523
 5	 0	 3	220.214	5.547
 5	 0	 4	219.097	5.477
 5	 0	 5	218.095	5.441
 5	 0	 6	217.293	5.617
 5	 0	 7	216.242	5.466
 5	 1	 0	222.447	2.199
 5	 1	 1	221.487	2.266
 5	 1	 2	220.457	2.205
 5	 1	 3	219.562	2.246
 5	 1	 4	218.516	2.172
 5	 1	 5	217.614	2.205
 5	 1	 6	216.550	2.221
 5	 1	 7	215.599	2.266
 5	 2	 0	222.372	1.361
 5	 2	 1	221.381	1.311
 5	 2	 2	220.382	1.344
 5	 2	 3	219.436	1.327
 5	 2	 4	218.397	1.256
 5	 2	 5	217.479	1.344
 5	 2	 6	216.546	1.301
 5	 2	 7	215.493	1.424
 5	 3	 0	222.392	1.010
 5	 3	 1	221.400	1.038
 5	 3	 2	220.414	0.954
 5	 3	 3	219.341	0.925
 5	 3	 4	218.382	0.899
 5	 3	 5	217.464	0.927
 5	 3	 6	216.463	0.939
 5	 3	 7	215.477	1.016
 5	 4	 0	222.391	0.826
 5	 4	 1	221.397	0.847
 5	 4	 2	220.302	0.779
 5	 4	 3	219.407	0.717
 5	 4	 4	218.449	0.746
 5	 4	 5	217.465	0.795
 5	 4	 6	216.425	0.881
 5	 4	 7	215.472	0.821
 5	 5	 0	222.419	0.714
 5	 5	 1	221.413	0.767
 5	 5	 2	220.384	0.723
 5	 5	 3	219.432	0.629
