allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
11.582	8.262	9.126	8.791	10.111	9.017	7.69	9.313	4.567	5.58	6.564	5.495	5.161	5.534	7.002	5.375	5.736	5.024	4.972	5	5.447	4.673	4.646	5.107	4.601	4.524	5.089	5.052	5.006	5.474	5.776	5.527
9.341	7.297	7.703	7.597	8.84	7.58	6.618	8.335	5.028	6.565	7.401	5.971	5.891	6.095	7.373	5.7	6.248	4.621	5.083	5.386	5.746	4.265	5.315	5.654	5.214	5.666	5.809	5.815	5.6	6.054	6.589	6.348
11.196	11.332	11.827	12.517	13.807	11.912	9.726	12.691	6.874	8.409	9.04	7.384	7.155	7.612	9.496	7.61	7.786	5.472	6.066	6.498	7.569	5.692	6.254	7.012	6.411	7.112	7.259	7.309	7.165	7.576	8.169	7.553
10.546	5.882	6.556	7.129	8.156	7.02	5.848	7.441	4.15	4.7	5.148	4.448	3.986	4.549	5.444	4.767	4.646	3.912	4.088	3.889	4.778	3.828	4.092	4.696	4.097	4.289	4.265	4.116	4.441	4.315	4.532	4.697
9.705	8.041	8.374	8.343	10.132	8.732	7.026	8.497	5.383	6.632	7.77	6.232	6.177	6.119	8.052	6.134	6.885	4.825	5.712	5.779	6.394	5.007	6.007	5.839	6.011	6.095	6.37	6.212	6.257	6.956	7.069	6.865
9.616	7.297	7.853	8.146	9.189	7.316	6.192	8.365	4.87	6.154	6.602	5.788	5.483	5.922	7.171	5.651	6.262	4.325	4.958	4.925	5.692	4.598	5.361	5.58	4.968	5.025	5.42	5.578	5.463	6.124	6.145	5.582
11.73	10.822	11.408	12.041	13.918	11.755	9.634	12.885	6.164	7.783	8.674	7.061	6.77	6.736	9.356	6.486	7.1	5.319	5.555	5.942	6.767	5.083	5.791	6.589	6.035	6.094	6.56	6.56	6.449	7.185	7.49	7.062
10.321	9.805	10.561	10.855	11.921	10.158	8.725	11.184	6.136	8.19	8.834	6.823	6.712	7.148	9.678	7.537	7.734	5.536	6.059	6.107	7.173	5.427	6.389	7.137	6.37	6.518	6.798	7.031	6.68	7.504	7.587	7.465
7.309	4.357	4.855	5.014	5.78	4.862	3.933	4.858	3.275	3.842	4.304	3.391	3.698	3.732	4.43	3.719	3.945	3.18	3.409	3.559	3.941	3.243	3.808	3.442	3.27	3.072	3.486	3.772	3.479	3.722	3.946	3.377
8.504	10.347	10.412	11.014	12.556	10.922	8.504	11.286	5.736	7.57	7.792	6.682	6.308	6.779	8.863	6.589	7.114	4.94	5.418	5.618	6.591	4.822	5.689	6.208	5.858	6.088	6.802	6.25	6.309	7.144	7.771	6.773
13.859	11.068	11.561	12.269	13.764	12.054	9.302	12.53	6.92	8.814	9.773	7.971	8.012	8.441	10.372	7.976	8.27	6.012	6.437	6.929	8.192	5.715	6.646	7.402	7.002	7.203	7.591	7.382	7.319	8.406	8.946	7.672
8.593	7.31	7.652	8.253	9.471	7.615	6.941	8.53	4.753	6.477	6.935	5.677	5.609	5.861	7.055	5.702	6.272	4.4	4.91	4.849	5.694	4.347	5.249	5.297	4.803	5.465	5.485	5.723	5.487	5.795	6.6	5.935
16.804	12.216	12.384	12.773	14.125	11.011	9.903	13.013	6.914	8.381	8.469	7.706	7.285	7.84	9.234	8.048	7.813	5.685	6.144	6.556	7.565	5.869	6.309	6.705	6.307	6.499	7.031	5.894	6.866	7.047	7.148	6.177
