Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.1250	1.1250	1.1250	1.0625	1.0625	1.1250	1.1250	1.0625	1.1042	1.1250	1.1250	1.1458	1.0625	1.1250	1.0625	1.1250	1.0833	1.1458	1.1458	1.1042	1.1042	1.1250	1.0833	1.1042	1.1042	1.0833	1.1250	1.1250	1.0833	1.1250	1.1042	1.1250	1.1081	0.0262	1.1250	  0	1.1081	0.0262
1.3750	1.3125	1.3750	1.3958	1.3750	1.3542	1.3750	1.3125	1.3125	1.3125	1.3750	1.3125	1.2708	1.3958	1.3125	1.3125	1.2917	1.3958	1.3750	1.3125	1.3333	1.3125	1.3750	1.3750	1.3542	1.3125	1.3125	1.3958	1.3125	1.3750	1.3333	1.3125	1.3424	0.0363	1.3333	  0	1.3424	0.0363
1.6250	1.6250	1.6458	1.6250	1.5208	1.6250	1.6667	1.6250	1.6250	1.6250	1.6250	1.6250	1.5208	1.6458	1.6250	1.6250	1.5417	1.5625	1.5833	1.5208	1.5833	1.5417	1.5417	1.6458	1.6250	1.6250	1.6250	1.6250	1.6250	1.6042	1.6250	1.5417	1.6029	0.0423	1.6250	 15	1.6250	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values at peaking time - based on Mean values without Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
636.89	650.89	707.61	665.49	658.67	689.39	671.93	647.79	663.20	665.58	656.43	733.98	688.81	676.62	684.80	672.05	645.01	691.90	694.38	719.70	643.03	601.10	703.82	641.05	588.10	665.61	692.22	676.96	658.53	681.61	705.16	688.59	670.84	30.890	671.99	  1	673.51	27.395
605.88	621.34	676.99	635.99	629.72	659.54	641.27	618.17	634.44	635.34	625.34	704.12	657.91	647.78	656.63	643.98	619.66	665.97	666.46	689.03	616.98	575.82	676.63	614.23	563.56	634.24	662.04	648.88	631.09	654.18	675.39	655.75	642.01	29.976	642.62	  0	642.01	29.976
594.49	609.16	664.21	624.79	618.42	648.30	629.38	607.42	623.14	623.41	614.34	693.00	646.61	635.51	644.18	633.39	609.89	655.34	654.74	677.13	606.45	565.18	665.70	603.37	554.64	622.24	649.69	636.69	620.39	642.35	662.73	642.68	630.59	29.486	631.38	  0	630.59	29.486
586.93	602.99	655.82	618.47	611.23	641.15	622.53	600.29	617.11	616.12	606.48	685.34	638.33	627.81	637.00	626.09	603.83	649.70	648.12	668.97	600.76	559.31	657.96	596.76	549.05	615.08	642.88	629.72	612.64	633.66	655.17	634.05	623.48	29.025	624.31	  0	623.48	29.025
