CH 0:
Tau 5: mean=148.489, sigma=3.24
Tau 6: mean=148.376, sigma=2.81
Tau 7: mean=148.487, sigma=2.52
Channel 26: mean=148.60, sigma=7.58
Number of error or empty events: 0
CH 27:
Tau 0: mean=164.56, sigma=24.42
Tau 1: mean=164.218, sigma=10.67
Tau 2: mean=163.924, sigma=6.40
Tau 3: mean=163.753, sigma=4.86
Tau 4: mean=163.92, sigma=3.98
Tau 5: mean=163.813, sigma=3.20
Tau 6: mean=163.584, sigma=2.96
Tau 7: mean=163.723, sigma=2.53
Channel 27: mean=163.94, sigma=7.38
Number of error or empty events: 0
CH 28:
Tau 0: mean=161.537, sigma=22.59
Tau 1: mean=161.107, sigma=9.88
Tau 2: mean=160.952, sigma=6.14
Tau 3: mean=160.598, sigma=4.58
Tau 4: mean=161.036, sigma=4.03
Tau 5: mean=160.618, sigma=3.17
Tau 6: mean=160.409, sigma=2.78
Tau 7: mean=160.698, sigma=2.56
Channel 28: mean=160.87, sigma=6.97
Number of error or empty events: 0
CH 29:
Tau 0: mean=166.145, sigma=22.22
Tau 1: mean=166.01, sigma=9.77
Tau 2: mean=165.649, sigma=6.01
Tau 3: mean=165.521, sigma=4.49
Tau 4: mean=165.63, sigma=3.80
Tau 5: mean=165.719, sigma=3.04
Tau 6: mean=165.565, sigma=2.73
Tau 7: mean=165.425, sigma=2.59
Channel 29: mean=165.71, sigma=6.83
Number of error or empty events: 0
CH 30:
Tau 0: mean=163.91, sigma=21.24
Tau 1: mean=163.725, sigma=9.59
Tau 2: mean=163.615, sigma=6.15
Tau 3: mean=163.249, sigma=4.72
Tau 4: mean=163.839, sigma=3.84
Tau 5: mean=163.248, sigma=2.98
Tau 6: mean=163.499, sigma=2.64
Tau 7: mean=163.297, sigma=2.54
Channel 30: mean=163.55, sigma=6.71
Number of error or empty events: 0
CH 31:
Tau 0: mean=142.544, sigma=20.81
Tau 1: mean=141.932, sigma=10.20
Tau 2: mean=141.932, sigma=6.89
Tau 3: mean=141.626, sigma=5.08
Tau 4: mean=141.938, sigma=4.16
Tau 5: mean=141.505, sigma=3.49
Tau 6: mean=141.756, sigma=2.97
Tau 7: mean=141.695, sigma=2.73
Channel 31: mean=141.87, sigma=7.04
Number of error or empty events: 0
Chip: mean=144.09, sigma=7.87
