9.3357925342 9.1242307344 9.1543668206 9.3522481747 8.8864053063 9.1772186042 9.1339553394 9.2572417825 8.3874899236 9.3315304325 9.0536307342 9.4617638810 9.2208516093 9.3632094024 9.5811152456 9.3888933615 8.6114609352 8.2290344901 9.0719121849 9.0908189465 8.8068349927 9.2994686917 10.5891517013 8.3271573708 8.9422488585 9.2835730969 9.7925059120 9.4807445153 10.3471725661 9.4644304064 8.7937864747 9.2735205208
9.8341723277 10.1115363838 9.9247263006 10.0557460590 9.3538560576 9.2591029804 9.7481368414 10.0840432711 10.5181976176 9.6890444490 9.6085246573 10.6334574159 9.6869546289 10.2459533228 9.9491897965 8.8891166163 10.3186788792 10.2642231090 10.0193654354 10.1747443222 9.8349999205 9.3768386109 9.6287787502 10.4199817779 10.1768043779 10.4338650698 10.0660084491 9.4019126331 10.1750720051 9.7339771750 9.9889452132 9.9900291817
11.2608576528 11.0435306903 11.0910889527 11.0419327962 10.0507467345 10.5603864190 10.7826446324 10.5175285633 11.6619332292 11.0127498961 11.3453880352 10.6041369971 11.2538820971 10.6775564703 10.9882750380 10.8226540326 10.5983961035 11.5098485903 9.9285876185 10.3555825528 10.6944092522 10.9065384082 11.3466112828 10.6266792082 10.8186334764 10.6413841846 11.3177213737 10.9901304829 11.1070523123 10.5336058440 10.5643071788 10.4203358562
11.6303204477 11.5711981306 11.4865398382 11.5355937995 11.4558466929 12.4606071444 11.6523366717 12.0467799099 11.8929733107 11.8715833829 10.9778073805 11.7095399710 11.8777485729 11.7888966101 10.8843047441 11.2368978864 11.0290337029 12.1187805010 11.6557074193 11.0995839772 11.3561376388 11.4785627898 11.9492021394 11.6019943200 10.9791971537 11.8465669432 11.9640490955 11.8894368319 12.0608521549 11.5851261721 11.0029374685 11.5022188676
12.3096791493 12.7219660591 12.5326233815 12.5139646799 12.5950592609 12.8619050185 12.9342816730 12.4815188528 12.6067939989 13.9426018986 12.5986018259 11.7976695784 12.7315217170 11.7682964805 11.8110717004 12.3651103341 12.3987581096 12.2563571471 12.7997531313 13.3168018070 12.6528686076 12.7988159320 12.2020359400 12.3714575035 12.4451349123 12.6688819162 12.9052802045 12.7998250017 12.8128320473 12.4738996110 12.5948661166 12.6628275058
12.9694874034 13.7231669058 13.4668040697 13.4230754741 13.6782975529 13.5931136811 13.7574528666 13.4112184145 13.5230450298 13.0478409693 14.3728790560 13.7988133885 14.2863336804 13.3153899024 13.7817452359 13.3886300214 13.4474532233 13.4662746142 13.8749264317 13.4682682454 12.9655451438 13.0903672489 13.7304622878 13.6163752574 14.3134783392 12.8460002850 13.1800568502 13.4635892711 14.1158935815 13.4025470251 12.9978963637 13.4217793700
13.8298781940 14.4134108074 14.4399275740 14.2423895104 14.1580654921 14.7482616215 14.4441271974 14.0449414047 14.5114900648 15.0029226978 14.2331638694 13.8970840265 15.3637577226 15.1257189993 13.8766155044 13.8428772344 13.9022113543 14.2346700961 13.7125115197 15.0356314042 14.4358814658 14.6083091029 13.7304622878 14.2199399274 14.7125631138 14.9550790948 14.4474658480 14.3562335917 14.9828584951 14.2743051279 13.9971426939 14.4031036462
15.7132819152 15.2557608741 15.2439179688 14.8803683414 15.3971775373 14.7379385902 15.0725026839 14.8081846957 15.1074367776 14.2593903430 15.7415944400 15.5505061957 15.5522670156 15.2189799513 14.7974637305 15.0328895012 14.8238274426 15.6160628843 14.7181684560 15.1875266655 15.3479610823 14.9980346988 13.6817411233 14.9528971132 15.3021786469 15.1329566324 15.8946995177 14.8526556735 14.7175286862 15.4383968215 14.8506522577 14.6535009299
16.0943987801 15.8431021037 16.2382493543 15.8537707447 15.2337751422 16.3917506361 15.8095636566 16.2180198282 16.1797606411 15.3969666538 15.2617333548 15.6885033830 16.6952129623 16.1835903530 16.3092913583 16.1665274538 15.0300695328 16.1891962564 15.7153546399 16.6679725969 15.9566225022 15.4367263164 16.8940126903 16.2425668629 16.1400609980 15.3737092018 15.2937595902 15.7670276045 16.4136992905 15.7103074782 15.8521148356 15.8877508677
17.1080750271 16.4308856700 16.9018583811 17.1438278041 17.1293594995 17.3031846728 17.3745925178 17.2624348408 16.8485049944 16.7454351377 17.0429163777 16.4875604504 17.6933551953 16.6924991213 16.7662817893 16.8746744872 17.2171682149 16.5056202558 17.4594035833 17.2266204307 16.4896027435 16.0025435495 16.4929826377 16.5206846511 17.0554725466 16.3378127424 17.4142904058 17.2605275591 17.0280292979 16.8476984370 16.8179712087 16.7377770062
17.7509400105 18.3300030810 17.5185868702 17.9883801337 18.1222423832 17.9253710849 17.7392646814 18.2785966141 17.7719190160 18.2293266220 18.1058447791 17.7228435348 18.2510274296 18.7641123731 18.1866148041 17.5640397239 16.7266780225 17.6440231172 17.9601202052 18.0401300337 17.7855539886 17.5070458042 17.8044312611 17.7836840950 17.9340808649 17.2406304877 17.3945327053 17.6194650416 18.2381752788 17.8311074120 17.1677979021 17.1438989723
18.8769613141 18.3585254432 18.2213216152 18.3041101080 18.5467648626 18.9637166961 19.0220046042 18.3184781508 18.3816292268 18.2293266220 19.5826866942 18.3563353522 18.9990169016 18.7745421614 18.1961562746 17.9235297172 19.1949807554 18.3974422664 18.8297329138 18.9260817493 18.6348531931 18.0255601146 19.2751034380 18.5307396892 18.6034706831 18.8190237876 18.9671542723 18.3079706740 17.8276635584 18.0650025403 18.3657015385 18.5287339356
19.8934997049 19.1670997195 19.1529813905 18.6913535657 19.5317621853 19.9725579012 19.8026333212 19.3762254645 19.7763999633 20.1258482296 19.5726291566 19.1293505147 20.5510419813 19.4946762027 19.3897956791 18.6721947410 19.5783522670 19.0425026126 19.6288785730 20.0481442536 18.5107380482 18.1528003862 20.3848665089 19.1888846035 19.9541484078 19.1669080791 19.3931137168 20.1975562294 19.2863470599 18.9526051069 19.2975942112 19.0525225960
21.0724006573 20.2433532006 20.3906488862 20.0384050990 19.8217016194 20.4515479177 20.5643188331 21.0461691287 21.5019857208 20.4020642958 19.7939299371 20.3604033148 19.4630903964 19.4842327258 20.3173741838 20.6982224154 20.0717003958 20.9118215320 20.7269431942 20.1911047926 20.1641220189 19.9758133360 20.8862600784 19.8077729435 20.4914595306 20.1168612361 20.1962706970 20.6282209197 19.9553296752 19.7729901377 20.0826896410 19.6836266502
